Who developed Python Programming Language?,Wick van Rossum,Rasmus Lerdorf,Guido van Rossum,Niene Stom,Guido van Rossum,memorybased,easy
Which type of Programming does Python support?,object-oriented programming,Structured Programming,Functional Programming,All of the Above,All of the Above,memorybased,easy
 Is Python case sensitive when dealing with identifiers?,yes,no,machine dependent,none of the above ,yes,understanding,easy
 Which of the following is the correct extension of the Python file?,.python,.py,.pl,.p,.py,memorybased,easy
Is Python code compiled or interpreted?,Python code is both compiled and interpreted,interpreted,complier,none,Python code is both compiled and interpreted,understanding,easy
 All keywords in Python are in _________,Capitalized,lowercase,uppercase,none of the above ,none of the above,fillups,easy
 What will be the value of the following Python expression?4 + 3 % 5,7,2,4,1,7,example,medium
Which of the following is used to define a block of code in Python language?,Indentation,Key,Brackets,All of the Above,Indentation,memorybased,easy
 Which keyword is used for function in Python language?,Function,Def,fun,define,Def,memorybased,easy
Which of the following character is used to give single-line comments in Python?,//',#,!,/*',#,memorybased,medium
"What will be the output of the following Python code?i = 1
while True:
    if i%3 == 0:
        break
    print(i)
 
    i + = 1",1 2 3,error,1 2 ,none of the above ,error,example,medium
Which of the following functions can help us to find the version of python that we are currently working on?, sys.version(1),sys.version(0),sys.version(),sys.version,sys.version,understanding,medium
" Python supports the creation of anonymous functions at runtime, using a construct called __________",pi,anonymous,lambda,none of the above ,lambda,fillups,hard
What is the order of precedence in python?,"Exponential, Parentheses, Multiplication, Division, Addition, Subtraction"," Exponential, Parentheses, Division, Multiplication, Addition, Subtraction","Parentheses, Exponential, Multiplication, Division, Subtraction, Addition"," Parentheses, Exponential, Multiplication, Division, Addition, Subtraction"," Parentheses, Exponential, Multiplication, Division, Addition, Subtraction",understanding,hard
 What will be the output of the following Python code snippet if x=1? X<<2,4,2,1,8,4,example,medium
What does pip stand for python?,Pip Installs Python,Pip Installs Packages,Preferred Installer Program,All of the Above,Preferred Installer Program,memorybased,medium
 Which of the following is true for variable names in Python?,underscore and ampersand are the only two special characters allowed, unlimited length, all private members must have leading and trailing underscores,none of the above , unlimited length,understanding,medium
" What are the values of the following Python expressions? 2**(3**2)
 (2**3)**2
 2**3**2","5,12,64,512","51,25,12,512","64,512,64","64,64,64","5,12,64,512",example,hard
 Which of the following is the truncation division operator in Python?,|,//',/',%,//',understanding,medium
"What will be the output of the following Python code?l=[1, 0, 2, 0, 'hello', '', []]
list(filter(bool, l))"," [1, 0, 2, ‘hello’, ”, []]",Error," [1, 2, ‘hello’]","[1, 0, 2, 0, ‘hello’, ”, []]"," [1, 2, ‘hello’]",example,easy
Which of the following functions is a built-in function in python?,factorial(),print(),seed(),sqrt(),print(),memorybased,easy
Which of the following is the use of id() function in python?,Every object doesn’t have a unique id,Id returns the identity of the object,all of the above,none of the above ,Id returns the identity of the object,understanding,medium
" The following python program can work with ____ parameters.def f(x):
    def f1(*args, **kwargs):
           print(""Sanfoundry"")
           return x(*args, **kwargs)
    return f1",any number of,0,1,2,any number of,example,hard
"What will be the output of the following Python function?min(max(False,-3,-4), 2,7)",-4,-3,2,FALSE,FALSE,example,easy
 Which of the following is not a core data type in Python programming?,tuples,lists,class,dictionary,class,memorybased,easy
"What will be the output of the following Python expression if x=56.236?print(""%.2f""%x)",56.236,56.23,56,56.24,56.24,example,medium
Which of these is the definition for packages in Python?,a set of main modules,A folder of python modules,none,all of the above,A folder of python modules,memorybased,easy
"What will be the output of the following Python function?len([""hello"",2, 4, 6])",error,6,4,3,4,example,easy
" What will be the output of the following Python code?x = 'abcd'
for i in x:
    print(i.upper())",a B C D ,a b c d,error,A B C D,A B C D,example,easy
What is the order of namespaces in which Python looks for an identifier?,"Python first searches the built-in namespace, then the global namespace and finally the local namespace"," Python first searches the built-in namespace, then the local namespace and finally the global namespace","Python first searches the local namespace, then the global namespace and finally the built-in namespace","Python first searches the global namespace, then the local namespace and finally the built-in namespace"," Python first searches the local namespace, then the global namespace and finally the built-in namespace",memorybased,medium
"What will be the output of the following Python code snippet?for i in [1, 2, 3, 4][::-1]:
    print(i, end=' ')",4 3 2 1 ,error,1  2 3 4 ,none of the above ,4 3 2 1,example,hard
"What will be the output of the following Python statement?>>>""a""+""bc""",bc,abc,all of the above,bca,abc,example,hard
"Which function is called when the following Python program is executed?f = foo()
format(f)",str(),format(),__str__(),__format__(),__str__(),understanding,hard
Which one of the following is not a keyword in Python language?,pass,eval,assert,nonlocal,eval,memorybased,easy
"What will be the output of the following Python code?class tester:
    def __init__(self, id):
        self.id = str(id)
        id=""224""
 
>>>temp = tester(12)
>>>print(temp.id)",12,224,none,error,12,example,medium
"What will be the output of the following Python program?def foo(x):
    x[0] = ['def']
    x[1] = ['abc']
    return id(x)
q = ['abc', 'def']
print(id(q) == foo(q))",error,none,FALSE,TRUE,TRUE,example,medium
Which module in the python standard library parses options received from the command line?,getarg,getopt,main,os,getopt,understanding,hard
"What will be the output of the following Python program?z=set('abc')
z.add('san')
z.update(set(['p', 'q']))
z","{‘a’, ‘c’, ‘c’, ‘p’, ‘q’, ‘s’, ‘a’, ‘n’}"," {‘abc’, ‘p’, ‘q’, ‘san’}"," {‘a’, ‘b’, ‘c’, ‘p’, ‘q’, ‘san’}","{‘a’, ‘b’, ‘c’, [‘p’, ‘q’], ‘san}"," {‘a’, ‘b’, ‘c’, ‘p’, ‘q’, ‘san’}",example,hard
What arithmetic operators cannot be used with strings in Python?,*,-',+',All of the Above,-',memorybased,easy
" What will be the output of the following Python code?print(""abc. DEF"".capitalize())",Abc.def,abc.def,Abc.Def,ABC.DEF,Abc.def,example,easy
Which of the following statements is used to create an empty set in Python?,(),[],{},set(),set(),understanding,easy
"What will be the value of ‘result’ in following Python program?list1 = [1,2,3,4]
list2 = [2,4,5,6]
list3 = [2,6,7,8]
result = list()
result.extend(i for i in list1 if i not in (list2+list3) and i not in result)
result.extend(i for i in list2 if i not in (list1+list3) and i not in result)
result.extend(i for i in list3 if i not in (list1+list2) and i not in result)","[1,3,5,7,8]","[1,7,8]","[1,2,4,7,8]",error,"[1,3,5,7,8]",example,hard
 To add a new element to a list we use which Python command?, list1.addEnd(5),list1.addLast(5),list1.append(5),list1.add(5),list1.append(5),understanding,medium
"What will be the output of the following Python code?print('*', ""abcde"".center(6), '*', sep='')",*  abcde *,*abcde*,*abcde  *,* abcde *,*abcde*,example,medium
"What will be the output of the following Python code?>>>list1 = [1, 3]
>>>list2 = list1
>>>list1[0] = 4
>>>print(list2)","[1, 4]","[1,3,4]","[4,3]","[1,3]","[4,3]",example,hard
 Which one of the following is the use of function in python?,Functions don’t provide better modularity for your application, you can’t also create your own functions, Functions are reusable pieces of programs,All of the Above, Functions are reusable pieces of programs,understanding,easy
" Functions are reusable pieces of programsA = [[1, 2, 3],
     [4, 5, 6],
     [7, 8, 9]]",A[2][1], A[1][2],A[3][2],A[2][3], A[1][2],example,easy
What is the maximum possible length of an identifier in Python?,79characters,31 characters,63 characters,none of the above ,none of the above,memorybased,medium
"What will be the output of the following Python program?i = 0
while i < 5:
    print(i)
    i += 1
    if i == 3:
        break
else:
    print(0)",error,0 1 2 0,0 1 2,none of the above ,0 1 2,example,easy
