"Choose one of the best option from the following Position number contained within a square brackets e.g. my_array [5], is referred as ____?
", Sub-scripts,Post-scripts,Elements of an array,None of them,Sub-scripts,0,easy
what is array,An array is a set of similar data items,An array is a set of distinct data items,An array can hold different types of datatypes, None of the above,An array is a set of similar data items,memorybased,medium
" If we stored five elements or data items in an array, what will be the index address or the index number of the array's last data item?
",3,5,4,88,4,understanding,easy
 Which of the following is the correct syntax for declaring the array?, int array [];,int array [5];,Array[5];,None of them,int array [5];,memorybased,easy
Which of the following is the correct syntax for printing the address of the first element?,int array[0],int array[1],int array[2],None of them,int array[0];,memorybased,easy
Which of the following gives the 4th element of the array?,int array[0],int array [0];,int array[3];,None of them,int array [3];,memorybased,easy
"What is the output of the given program?int array[] = {10, 20, 30}; cout << -2[array];  ",-15,-30,Compiler error,Garbage value,-30,memorybased,medium
Which type of memory is used by an Array in C++ programming language?,Contiguous,Non-Contiguous,Both A and B,Not Mentioned,Contiguous,memorybased,medium
 How many types of the array are there in the C++ programming language?,three types,four types,two types,Both A and B,two types,memorybased,medium
"In C++, for what purpose the ""rank()"" is used?",It returns the size of each dimension,It returns the maximum number of elements that can be stored in the array,It returns the dimension of the specified array,None of them,It returns the dimension of the specified array,understanding,hard
"Which one of the following is the correct definition of the ""is_array();"" function in C++?",It checks that the specified variable is of the array or not, It checks that the specified array of single dimension or not,It checks that the array specified of multi-dimension or not,Both B and C, It checks that the specified array of single dimension or not,memorybased,medium
"Observer the given C++ program carefully and choose the correct output from the given options: cout<<is_array<int>::value; // case A    cout<<is_array<char[10]>::value; // case B cout<<is_array<string>::value;  // case c  
",110,1,10,None of them,10,example,medium
"Read the given C++ program carefully and choose the correct output from the given options: cout<<rank<int[10]>::value; // Case A    cout<<rank<char[10][10]>::value;   // Case B      cout<<rank<string[10][10][10]>::value; //Case C  
",121,321,123,10,123,example,easy
What did we call an array of the one-dimensional array?, Single Dimensional array, Multi-Dimensional array,2D Array (or 2-Dimensional array), Both A and B,2D Array (or 2-Dimensional array),memorybased,easy
Which types of arrays are always considered as linear arrays?,Single-dimensional,Multi-dimensional,Both A and B,None of them,Single-dimensional,memorybased,easy
Which of the following can be considered as the object of an array?,Index of an array,Elements of the Array,Functions of the Array, All of the above,Elements of the Array,memorybased,medium
 How many types of elements can an array store?,Same types of elements,Char and int type,Only char types,All of the above,Same types of elements,memorybased,medium
" Elements of a one-dimensional array are numbered as 0,1,2,3,4,5, and so on; these numbers are known as ____",Subscript of Array,Members of Array,Index values,Both A and C,Both A and C,fill ups,hard
What is the correct definition of an array?,An array is a series of elements of the same type in contiguous memory ,An array is a series of element,An array is a series of elements of the same type placed in non-contiguous memory locations,An array is an element of the different type,An array is a series of elements of the same type in contiguous memory locations,memorybased,hard
 A binary search algorithm is an algorithm that is used for,Divide and conquer method,Linear way to search values,Bubble sorting technique,None of them,Divide and conquer method,understanding,hard
"In an array starting from the beginning and inspecting each element one after other for finding an object, until the object is found is called as",Linear search algorithm,Searching, Inspecting,all of them,Linear search algorithm,fill ups,hard
"Consecutive group of memory locations contains all same name and same type, is called as",Structures,Arrays,Classes,Functions,Arrays,fill ups,hard
For finding value in an array which of the following technique is used?, Binary search algorithm,Bubble Sort, Linear search algorithm, All of them, All of them,memorybased,medium
"Choose one of the best option from the following Position number contained within a square brackets e.g. my_array [5], is referred as ____?",Sub-scripts,Post-scripts,Elements of an array,None of them,Sub-scripts,fill ups,medium
when ______ array that are declared static are initialized,he first element is zero,Program is about to end,Program is loaded into the memory,None of them,Program is loaded into the memory,fill ups,easy
Objects in an array is called as,Functions of an array,Elements of an array,Indexes of an array,all of them,Functions of an array,memorybased,easy
 Which one of the following is a loop construct that will always be executed once?,for,while,switch,do while,do while,memorybased,easy
